id_folha,pai_id,nivel,codigo_folha,descricao_folha,caminho_codigo,profundidade,empresa_id,departamento_id,categoria_id,sub_categoria_id,segmento_id,sub_segmento_id,codigo_departamento_id,codigo_categoria_id,codigo_sub_categoria_id,codigo_segmento_id,codigo_sub_segmento_id,descricao_departamento_id,descricao_categoria_id,descricao_sub_categoria_id,descricao_segmento_id,descricao_sub_segmento_id
46803,46586,3,10,TRONINHO,3 > 2 > 10,3,633,46386,46586,46803,,,3,2,10,,,HIGIENE / SAUDE / BELEZA,HIGIENE INFANTIL,TRONINHO,,
46629,46587,4,1,2,3 > 2 > 1 > 1,4,633,46386,46586,46587,46629,,3,2,1,1,,HIGIENE / SAUDE / BELEZA,HIGIENE INFANTIL,CONDICIONADOR,2,
46644,46587,4,2,200ML,3 > 2 > 1 > 2,4,633,46386,46586,46587,46644,,3,2,1,2,,HIGIENE / SAUDE / BELEZA,HIGIENE INFANTIL,CONDICIONADOR,200ML,
55778,55095,3,204,FLUOR,32 > 1 > 204,3,633,54966,55095,55778,,,32,1,204,,,HIGIENE BUCAL,CR DENTAL,FLUOR,,
55779,55095,3,205,MENTA,32 > 1 > 205,3,633,54966,55095,55779,,,32,1,205,,,HIGIENE BUCAL,CR DENTAL,MENTA,,
55781,55095,3,210,TRADICIONAL,32 > 1 > 210,3,633,54966,55095,55781,,,32,1,210,,,HIGIENE BUCAL,CR DENTAL,TRADICIONAL,,
55782,55095,3,215,BUBBLE GUM,32 > 1 > 215,3,633,54966,55095,55782,,,32,1,215,,,HIGIENE BUCAL,CR DENTAL,BUBBLE GUM,,
55783,55095,3,221,REFRESCANCIA CONFIAVEL,32 > 1 > 221,3,633,54966,55095,55783,,,32,1,221,,,HIGIENE BUCAL,CR DENTAL,REFRESCANCIA CONFIAVEL,,
55784,55095,3,222,TOTAL,32 > 1 > 222,3,633,54966,55095,55784,,,32,1,222,,,HIGIENE BUCAL,CR DENTAL,TOTAL,,
55785,55095,3,223,BRANQUEADOR,32 > 1 > 223,3,633,54966,55095,55785,,,32,1,223,,,HIGIENE BUCAL,CR DENTAL,BRANQUEADOR,,
55786,55095,3,225,PROPOLIS,32 > 1 > 225,3,633,54966,55095,55786,,,32,1,225,,,HIGIENE BUCAL,CR DENTAL,PROPOLIS,,
55787,55095,3,240,HORTELA,32 > 1 > 240,3,633,54966,55095,55787,,,32,1,240,,,HIGIENE BUCAL,CR DENTAL,HORTELA,,
55788,55095,3,241,EUCALIPTO,32 > 1 > 241,3,633,54966,55095,55788,,,32,1,241,,,HIGIENE BUCAL,CR DENTAL,EUCALIPTO,,
46834,46587,4,3,230ML,3 > 2 > 1 > 3,4,633,46386,46586,46587,46834,,3,2,1,3,,HIGIENE / SAUDE / BELEZA,HIGIENE INFANTIL,CONDICIONADOR,230ML,
46848,46587,4,4,250ML,3 > 2 > 1 > 4,4,633,46386,46586,46587,46848,,3,2,1,4,,HIGIENE / SAUDE / BELEZA,HIGIENE INFANTIL,CONDICIONADOR,250ML,
46860,46587,4,5,260ML,3 > 2 > 1 > 5,4,633,46386,46586,46587,46860,,3,2,1,5,,HIGIENE / SAUDE / BELEZA,HIGIENE INFANTIL,CONDICIONADOR,260ML,
46870,46587,4,6,300ML,3 > 2 > 1 > 6,4,633,46386,46586,46587,46870,,3,2,1,6,,HIGIENE / SAUDE / BELEZA,HIGIENE INFANTIL,CONDICIONADOR,300ML,
46880,46587,4,7,480ML,3 > 2 > 1 > 7,4,633,46386,46586,46587,46880,,3,2,1,7,,HIGIENE / SAUDE / BELEZA,HIGIENE INFANTIL,CONDICIONADOR,480ML,
55503,55037,3,2,F MANDIOCA BCA,3 > 2 > 2,3,633,54937,55037,55503,,,3,2,2,,,FARINACEOS,FAR MANDIOCA,F MANDIOCA BCA,,
55135,54966,2,2,ESC DENTAL,32 > 2,2,633,54966,55135,,,,32,2,,,,HIGIENE BUCAL,ESC DENTAL,,,
46804,46788,4,1,100UN,3 > 2 > 2 > 1,4,633,46386,46586,46788,46804,,3,2,2,1,,HIGIENE / SAUDE / BELEZA,HIGIENE INFANTIL,LENCO UMEDECIDO,100UN,
46901,46788,4,10,L100P90,3 > 2 > 2 > 10,4,633,46386,46586,46788,46901,,3,2,2,10,,HIGIENE / SAUDE / BELEZA,HIGIENE INFANTIL,LENCO UMEDECIDO,L100P90,
46907,46788,4,11,P400UN,3 > 2 > 2 > 11,4,633,46386,46586,46788,46907,,3,2,2,11,,HIGIENE / SAUDE / BELEZA,HIGIENE INFANTIL,LENCO UMEDECIDO,P400UN,
46820,46788,4,2,12UN,3 > 2 > 2 > 2,4,633,46386,46586,46788,46820,,3,2,2,2,,HIGIENE / SAUDE / BELEZA,HIGIENE INFANTIL,LENCO UMEDECIDO,12UN,
46835,46788,4,3,400UN,3 > 2 > 2 > 3,4,633,46386,46586,46788,46835,,3,2,2,3,,HIGIENE / SAUDE / BELEZA,HIGIENE INFANTIL,LENCO UMEDECIDO,400UN,
46849,46788,4,4,450UN,3 > 2 > 2 > 4,4,633,46386,46586,46788,46849,,3,2,2,4,,HIGIENE / SAUDE / BELEZA,HIGIENE INFANTIL,LENCO UMEDECIDO,450UN,
46861,46788,4,5,48UN,3 > 2 > 2 > 5,4,633,46386,46586,46788,46861,,3,2,2,5,,HIGIENE / SAUDE / BELEZA,HIGIENE INFANTIL,LENCO UMEDECIDO,48UN,
46871,46788,4,6,50UN,3 > 2 > 2 > 6,4,633,46386,46586,46788,46871,,3,2,2,6,,HIGIENE / SAUDE / BELEZA,HIGIENE INFANTIL,LENCO UMEDECIDO,50UN,
46881,46788,4,7,64UN,3 > 2 > 2 > 7,4,633,46386,46586,46788,46881,,3,2,2,7,,HIGIENE / SAUDE / BELEZA,HIGIENE INFANTIL,LENCO UMEDECIDO,64UN,
46888,46788,4,8,70UN,3 > 2 > 2 > 8,4,633,46386,46586,46788,46888,,3,2,2,8,,HIGIENE / SAUDE / BELEZA,HIGIENE INFANTIL,LENCO UMEDECIDO,70UN,
46895,46788,4,9,75UN,3 > 2 > 2 > 9,4,633,46386,46586,46788,46895,,3,2,2,9,,HIGIENE / SAUDE / BELEZA,HIGIENE INFANTIL,LENCO UMEDECIDO,75UN,
46805,46790,4,1,120ML,3 > 2 > 3 > 1,4,633,46386,46586,46790,46805,,3,2,3,1,,HIGIENE / SAUDE / BELEZA,HIGIENE INFANTIL,COLONIA,120ML,
55701,55169,3,1,ENXAGUANTE,32 > 3 > 1,3,633,54966,55169,55701,,,32,3,1,,,HIGIENE BUCAL,ACESSORIOS H BUCAL,ENXAGUANTE,,
55724,55169,3,2,FIO DENTAL,32 > 3 > 2,3,633,54966,55169,55724,,,32,3,2,,,HIGIENE BUCAL,ACESSORIOS H BUCAL,FIO DENTAL,,
55968,55169,3,210,TRADICIONAL,32 > 3 > 210,3,633,54966,55169,55968,,,32,3,210,,,HIGIENE BUCAL,ACESSORIOS H BUCAL,TRADICIONAL,,
46806,46792,4,1,150G,3 > 2 > 4 > 1,4,633,46386,46586,46792,46806,,3,2,4,1,,HIGIENE / SAUDE / BELEZA,HIGIENE INFANTIL,CREME PENTEAR,150G,
46821,46792,4,2,200ML,3 > 2 > 4 > 2,4,633,46386,46586,46792,46821,,3,2,4,2,,HIGIENE / SAUDE / BELEZA,HIGIENE INFANTIL,CREME PENTEAR,200ML,
46836,46792,4,3,300ML,3 > 2 > 4 > 3,4,633,46386,46586,46792,46836,,3,2,4,3,,HIGIENE / SAUDE / BELEZA,HIGIENE INFANTIL,CREME PENTEAR,300ML,
46850,46792,4,4,350G,3 > 2 > 4 > 4,4,633,46386,46586,46792,46850,,3,2,4,4,,HIGIENE / SAUDE / BELEZA,HIGIENE INFANTIL,CREME PENTEAR,350G,
46807,46794,4,1,200ML,3 > 2 > 5 > 1,4,633,46386,46586,46794,46807,,3,2,5,1,,HIGIENE / SAUDE / BELEZA,HIGIENE INFANTIL,SHAMPOO INFANTIL,200ML,
46902,46794,4,10,500ML,3 > 2 > 5 > 10,4,633,46386,46586,46794,46902,,3,2,5,10,,HIGIENE / SAUDE / BELEZA,HIGIENE INFANTIL,SHAMPOO INFANTIL,500ML,
46822,46794,4,2,230ML,3 > 2 > 5 > 2,4,633,46386,46586,46794,46822,,3,2,5,2,,HIGIENE / SAUDE / BELEZA,HIGIENE INFANTIL,SHAMPOO INFANTIL,230ML,
46837,46794,4,3,250G,3 > 2 > 5 > 3,4,633,46386,46586,46794,46837,,3,2,5,3,,HIGIENE / SAUDE / BELEZA,HIGIENE INFANTIL,SHAMPOO INFANTIL,250G,
46851,46794,4,4,250ML,3 > 2 > 5 > 4,4,633,46386,46586,46794,46851,,3,2,5,4,,HIGIENE / SAUDE / BELEZA,HIGIENE INFANTIL,SHAMPOO INFANTIL,250ML,
46862,46794,4,5,260ML,3 > 2 > 5 > 5,4,633,46386,46586,46794,46862,,3,2,5,5,,HIGIENE / SAUDE / BELEZA,HIGIENE INFANTIL,SHAMPOO INFANTIL,260ML,
46872,46794,4,6,280ML,3 > 2 > 5 > 6,4,633,46386,46586,46794,46872,,3,2,5,6,,HIGIENE / SAUDE / BELEZA,HIGIENE INFANTIL,SHAMPOO INFANTIL,280ML,
46882,46794,4,7,400G,3 > 2 > 5 > 7,4,633,46386,46586,46794,46882,,3,2,5,7,,HIGIENE / SAUDE / BELEZA,HIGIENE INFANTIL,SHAMPOO INFANTIL,400G,
